Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,174.78911,-114.951411,260.15999999999997,bottom
C1,168.75899,-106.5956,350.15999999999997,bottom
C10,158.282224,-57.187611,0.1599999999999966,bottom
C2,161.031516,-57.445287,180.16,bottom
C3,172.346428,-93.55408,170.16,bottom
C4,163.767876,-95.295756,80.16,bottom
C5,174.088103,-102.132634,260.15999999999997,bottom
C6,173.851806,-103.696017,170.16,bottom
C7,168.54537,-105.363987,170.16,bottom
C8,158.551074,-50.438336,90.16,bottom
C9,157.042002,-53.684133,90.16,bottom
D1,84.291529,-55.358382,280.15999999999997,bottom
D10,91.634238,-95.38122,280.15999999999997,bottom
D11,110.385512,-98.741594,280.15999999999997,bottom
D12,129.136789,-102.101968,280.15999999999997,bottom
D13,147.888068,-105.462343,280.15999999999997,bottom
D14,71.866494,-111.192173,280.15999999999997,bottom
D15,125.776418,-120.853246,280.15999999999997,bottom
D16,167.08783,-55.665515,80.16,bottom
D17,192.502767,-61.408345,260.15999999999997,bottom
D18,211.272519,-58.15275,260.15999999999997,bottom
D19,230.042273,-54.897155,260.15999999999997,bottom
D2,103.042806,-58.71876,280.15999999999997,bottom
D20,181.681052,-82.619793,260.15999999999997,bottom
D21,200.450801,-79.364199,260.15999999999997,bottom
D22,219.220551,-76.108602,260.15999999999997,bottom
D23,237.990304,-72.853007,260.15999999999997,bottom
D24,194.321522,-99.761751,260.15999999999997,bottom
D25,213.091273,-96.506153,260.15999999999997,bottom
D26,231.861025,-93.250558,260.15999999999997,bottom
D27,250.630775,-89.994961,260.15999999999997,bottom
D28,195.230894,-118.938454,260.15999999999997,bottom
D29,244.501498,-110.392513,260.15999999999997,bottom
D3,121.794082,-62.079133,280.15999999999997,bottom
D4,140.545361,-65.439507,280.15999999999997,bottom
D5,78.587244,-73.689615,280.15999999999997,bottom
D6,104.37025,-78.31013,280.15999999999997,bottom
D7,123.121528,-81.670506,280.15999999999997,bottom
D8,141.872802,-85.03088,280.15999999999997,bottom
D9,68.195145,-91.180751,280.15999999999997,bottom
F1,155.54829,-51.429955,180.16,bottom
J1,155.5825,-39.18,180.16,bottom
MX1,82.712719,-49.995798,10.159999999999997,bottom
MX10,90.055423,-90.018631,10.159999999999997,bottom
MX11,108.806705,-93.379003,10.159999999999997,bottom
MX12,127.557985,-96.739379,10.159999999999997,bottom
MX13,146.309258,-100.099753,10.159999999999997,bottom
MX14,70.287688,-105.829581,10.159999999999997,bottom
MX15,124.197609,-115.490655,10.159999999999997,bottom
MX16,170.405534,-60.164716,170.16,bottom
MX17,189.185059,-56.909146,350.15999999999997,bottom
MX18,207.954813,-53.65355,350.15999999999997,bottom
MX19,226.724562,-50.397956,350.15999999999997,bottom
MX2,101.463998,-53.356171,10.159999999999997,bottom
MX20,178.363341,-78.120594,350.15999999999997,bottom
MX21,197.133091,-74.864997,350.15999999999997,bottom
MX22,215.902846,-71.609403,350.15999999999997,bottom
MX23,234.672598,-68.353806,350.15999999999997,bottom
MX24,191.003811,-95.26255,350.15999999999997,bottom
MX25,209.773565,-92.006956,350.15999999999997,bottom
MX26,228.543314,-88.751357,350.15999999999997,bottom
MX27,247.313067,-85.495765,350.15999999999997,bottom
MX28,191.913188,-114.43925,350.15999999999997,bottom
MX29,241.183788,-105.893312,350.15999999999997,bottom
MX3,120.215273,-56.716545,10.159999999999997,bottom
MX4,138.966551,-60.076921,10.159999999999997,bottom
MX5,77.008437,-68.327028,10.159999999999997,bottom
MX6,102.791439,-72.947541,10.159999999999997,bottom
MX7,121.542718,-76.307917,10.159999999999997,bottom
MX8,140.293994,-79.668289,10.159999999999997,bottom
MX9,66.616333,-85.818165,10.159999999999997,bottom
R1,158.556657,-48.438343,0.1599999999999966,bottom
R2,158.563638,-45.938353,180.16,bottom
R3,171.868575,-108.353462,350.15999999999997,bottom
R4,169.405355,-108.780706,350.15999999999997,bottom
RST1,168.877379,-115.976798,80.16,bottom
U1,168.92799,-98.714195,350.15999999999997,bottom
U2,155.560159,-47.17997,0.15999999999996817,bottom
U3,159.7892,-54.691809,180.16,bottom
